sale_line_id,transaction_id,sale_date,store_id,product_id,channel_id,promotion_id,quantity,unit_price_sale
L00071,T10071,2026-01-01,S02,P011,C01,PR10,4,107100
L00226,T10226,2026-01-01,S02,P014,C01,PR00,2,513600
L00291,T10291,2026-01-01,S01,P016,C01,PR00,2,429100
L00073,T10073,2026-01-02,S01,P012,C01,PR10,3,254000
L00155,T10155,2026-01-02,S03,P010,C02,PR10,3,1286500
L00973,T10973,2026-01-02,S01,P013,C01,PR00,1,190800
L00976,T10976,2026-01-02,S02,P009,C01,PR00,2,1536900
L00271,T10271,2026-01-03,S01,P020,C01,PR10,1,143800
L00513,T10513,2026-01-03,S01,P016,C01,PR00,2,425000
L00999,T10999,2026-01-03,S02,P001,C01,PR00,4,2607400
L00275,T10275,2026-01-04,S01,P016,C01,PR10,2,392300
L00450,T10450,2026-01-04,S02,P010,C01,PR00,2,1468300
L00612,T10612,2026-01-04,S02,P013,C01,PR00,1,192200
L00678,T10678,2026-01-04,S03,P003,C02,PR00,1,4193800
L00723,T10723,2026-01-04,S02,P012,C01,PR00,3,280700
L00116,T10116,2026-01-05,S02,P008,C01,PR00,2,966100
L00163,T10163,2026-01-05,S02,P009,C01,PR00,2,1539600
L00395,T10395,2026-01-05,S02,P020,C01,PR10,1,143600
L00610,T10610,2026-01-05,S01,P020,C01,PR15,4,135400
L00853,T10853,2026-01-05,S03,P013,C02,PR15,1,162400
L00193,T10193,2026-01-06,S02,P011,C01,PR00,1,118700
L00674,T10674,2026-01-06,S02,P018,C01,PR00,1,177600
L00716,T10716,2026-01-06,S02,P018,C01,PR00,3,179900
L00788,T10788,2026-01-06,S02,P016,C01,PR00,1,430900
L00158,T10158,2026-01-07,S02,P001,C01,PR10,3,2324400
L00319,T10319,2026-01-07,S01,P008,C01,PR00,1,976100
L00347,T10347,2026-01-07,S01,P020,C01,PR00,1,161700
L00877,T10877,2026-01-07,S01,P003,C01,PR00,1,4206400
L00913,T10913,2026-01-07,S02,P016,C01,PR00,1,423700
L00936,T10936,2026-01-07,S03,P006,C02,PR20,1,1427200
L00304,T10304,2026-01-08,S02,P015,C01,PR20,1,191700
L00691,T10691,2026-01-08,S01,P019,C01,PR00,1,458400
L00745,T10745,2026-01-08,S02,P011,C01,PR10,1,109400
L00020,T10020,2026-01-09,S01,P009,C01,PR00,1,1560700
L00160,T10160,2026-01-09,S01,P013,C01,PR00,1,189100
L00340,T10340,2026-01-09,S01,P019,C01,PR10,3,412300
L00371,T10371,2026-01-09,S01,P014,C01,PR10,2,462200
L00656,T10656,2026-01-09,S02,P011,C01,PR00,4,120300
L00736,T10736,2026-01-09,S01,P017,C01,PR00,1,354300
L00812,T10812,2026-01-09,S01,P016,C01,PR00,3,435000
L00871,T10871,2026-01-09,S02,P003,C01,PR00,2,4239200
L00028,T10028,2026-01-10,S03,P003,C02,PR00,1,4156300
L00128,T10128,2026-01-10,S01,P013,C01,PR10,2,170400
L00139,T10139,2026-01-10,S02,P017,C01,PR00,1,350600
L00143,T10143,2026-01-10,S02,P019,C01,PR00,2,458100
L00164,T10164,2026-01-10,S01,P007,C01,PR00,2,1339500
L00917,T10917,2026-01-10,S03,P012,C02,PR15,1,236800
L00085,T10085,2026-01-11,S03,P015,C02,PR00,1,237900
L00290,T10290,2026-01-11,S03,P011,C02,PR10,5,106600
L00317,T10317,2026-01-11,S02,P004,C01,PR00,1,1871700
L00817,T10817,2026-01-11,S02,P016,C01,PR10,1,387000
L00066,T10066,2026-01-12,S01,P017,C01,PR00,2,349800
L00121,T10121,2026-01-12,S01,P007,C01,PR00,3,1336400
L00244,T10244,2026-01-12,S03,P014,C02,PR00,1,521100
L00335,T10335,2026-01-12,S03,P017,C02,PR00,1,346200
L00481,T10481,2026-01-12,S02,P008,C01,PR00,1,970100
L00532,T10532,2026-01-12,S02,P018,C01,PR00,1,179700
L00629,T10629,2026-01-12,S02,P014,C01,PR00,3,520900
L00642,T10642,2026-01-12,S01,P011,C01,PR10,1,108100
L00961,T10961,2026-01-12,S01,P012,C01,PR00,2,277800
L00700,T10700,2026-01-13,S03,P020,C02,PR00,1,159200
L00719,T10719,2026-01-13,S01,P019,C01,PR00,1,461800
L00100,T10100,2026-01-14,S01,P018,C01,PR00,1,181700
L00333,T10333,2026-01-14,S01,P003,C01,PR00,1,4222900
L00781,T10781,2026-01-14,S03,P011,C02,PR15,1,101500
L00082,T10082,2026-01-15,S02,P014,C01,PR15,3,440000
L00301,T10301,2026-01-15,S02,P019,C01,PR00,1,461600
L00615,T10615,2026-01-15,S01,P011,C01,PR20,1,97200
L00223,T10223,2026-01-16,S03,P015,C02,PR15,1,201400
L00251,T10251,2026-01-16,S02,P014,C01,PR00,2,521400
L00639,T10639,2026-01-16,S03,P009,C02,PR00,1,1534100
L00878,T10878,2026-01-16,S03,P014,C02,PR10,1,474700
L00086,T10086,2026-01-17,S03,P003,C02,PR15,3,3538600
L00151,T10151,2026-01-17,S01,P007,C01,PR00,1,1361300
L00329,T10329,2026-01-17,S01,P015,C01,PR20,1,191100
L00862,T10862,2026-01-17,S03,P016,C02,PR15,2,367000
L00048,T10048,2026-01-18,S02,P012,C01,PR00,1,278400
L00839,T10839,2026-01-18,S02,P019,C01,PR10,2,410100
L00070,T10070,2026-01-19,S01,P019,C01,PR10,1,420000
L00323,T10323,2026-01-19,S03,P004,C02,PR15,3,1630500
L00770,T10770,2026-01-19,S02,P014,C01,PR00,1,519600
L00807,T10807,2026-01-19,S02,P015,C01,PR00,1,237000
L00206,T10206,2026-01-20,S01,P008,C01,PR00,3,971000
L00255,T10255,2026-01-20,S01,P016,C01,PR00,3,433700
L00619,T10619,2026-01-20,S03,P007,C02,PR10,1,1230200
L00124,T10124,2026-01-21,S02,P012,C01,PR10,1,251400
L00277,T10277,2026-01-21,S03,P018,C02,PR15,1,153500
L00413,T10413,2026-01-21,S02,P014,C01,PR00,1,514100
L00535,T10535,2026-01-21,S01,P015,C01,PR00,3,239900
L00996,T10996,2026-01-21,S03,P015,C02,PR00,1,243000
L00409,T10409,2026-01-22,S03,P004,C02,PR10,1,1706300
L00634,T10634,2026-01-22,S02,P006,C01,PR15,1,1515000
L00898,T10898,2026-01-22,S03,P020,C02,PR15,3,136100
L00009,T10009,2026-01-23,S03,P020,C02,PR15,2,136100
L00077,T10077,2026-01-23,S03,P018,C02,PR15,2,154600
L00095,T10095,2026-01-23,S02,P018,C01,PR00,4,178000
L00098,T10098,2026-01-23,S03,P008,C02,PR00,2,977900
L00174,T10174,2026-01-23,S01,P019,C01,PR10,4,413000
L00354,T10354,2026-01-23,S03,P019,C02,PR10,5,416700
L00366,T10366,2026-01-23,S02,P014,C01,PR00,1,526400
L00874,T10874,2026-01-23,S01,P018,C01,PR00,2,177700
L00987,T10987,2026-01-23,S03,P019,C02,PR15,2,390300
L00287,T10287,2026-01-24,S01,P020,C01,PR00,3,158400
L00324,T10324,2026-01-24,S01,P018,C01,PR00,2,179900
L00521,T10521,2026-01-24,S03,P015,C02,PR00,2,242900
L00170,T10170,2026-01-25,S03,P015,C02,PR00,1,239600
L00246,T10246,2026-01-25,S02,P006,C01,PR00,1,1798600
L00659,T10659,2026-01-25,S01,P002,C01,PR15,2,3238500
L00709,T10709,2026-01-25,S02,P012,C01,PR00,1,279200
L00923,T10923,2026-01-25,S01,P011,C01,PR00,2,121700
L00508,T10508,2026-01-26,S01,P009,C01,PR00,1,1546000
L00863,T10863,2026-01-26,S03,P004,C02,PR00,1,1910000
L00042,T10042,2026-01-27,S03,P011,C02,PR20,3,96800
L00487,T10487,2026-01-27,S03,P016,C02,PR00,1,430900
L00181,T10181,2026-01-28,S01,P015,C01,PR00,3,242900
L00187,T10187,2026-01-28,S01,P015,C01,PR00,1,236800
L00772,T10772,2026-01-28,S02,P006,C01,PR00,1,1777000
L00783,T10783,2026-01-28,S03,P009,C02,PR20,2,1224200
L00162,T10162,2026-01-29,S01,P002,C01,PR10,1,3372000
L00536,T10536,2026-01-29,S01,P018,C01,PR00,1,180300
L00587,T10587,2026-01-29,S01,P014,C01,PR00,1,524200
L00943,T10943,2026-01-29,S02,P008,C01,PR00,2,994100
L00949,T10949,2026-01-29,S01,P016,C01,PR00,1,433100
L00125,T10125,2026-01-30,S01,P001,C01,PR00,2,2628900
L00843,T10843,2026-01-30,S01,P019,C01,PR00,1,455800
L00998,T10998,2026-01-30,S03,P015,C02,PR10,3,218800
L00365,T10365,2026-01-31,S03,P019,C02,PR00,2,453500
L00670,T10670,2026-01-31,S03,P010,C02,PR10,2,1297700
L00880,T10880,2026-01-31,S03,P014,C02,PR10,1,472000
L00269,T10269,2026-02-01,S03,P002,C02,PR15,1,3231800
L00274,T10274,2026-02-01,S03,P008,C02,PR15,1,843100
L00476,T10476,2026-02-01,S03,P009,C02,PR15,1,1326200
L00541,T10541,2026-02-01,S03,P016,C02,PR00,4,436300
L00647,T10647,2026-02-01,S02,P020,C01,PR00,3,160800
L00053,T10053,2026-02-02,S02,P015,C01,PR00,2,242600
L00232,T10232,2026-02-02,S01,P016,C01,PR20,1,346400
L00383,T10383,2026-02-02,S02,P003,C01,PR00,1,4167700
L00452,T10452,2026-02-02,S03,P020,C02,PR10,1,143100
L00732,T10732,2026-02-02,S02,P014,C01,PR00,1,516100
L00798,T10798,2026-02-02,S03,P017,C02,PR00,1,348000
L00062,T10062,2026-02-03,S02,P011,C01,PR10,1,107100
L00416,T10416,2026-02-03,S02,P007,C01,PR10,1,1228300
L00457,T10457,2026-02-03,S01,P017,C01,PR00,1,344900
L00569,T10569,2026-02-03,S01,P015,C01,PR15,1,205600
L00690,T10690,2026-02-03,S01,P010,C01,PR00,3,1455200
L00799,T10799,2026-02-03,S02,P018,C01,PR00,3,177900
L00870,T10870,2026-02-03,S01,P012,C01,PR00,1,277700
L00899,T10899,2026-02-03,S03,P016,C02,PR15,2,362400
L00013,T10013,2026-02-04,S02,P003,C01,PR00,1,4252800
L00111,T10111,2026-02-04,S03,P001,C02,PR10,2,2306900
L00542,T10542,2026-02-04,S02,P017,C01,PR00,2,352500
L00554,T10554,2026-02-04,S03,P001,C02,PR00,1,2596000
L00597,T10597,2026-02-04,S03,P013,C02,PR00,1,189700
L00604,T10604,2026-02-04,S03,P016,C02,PR10,2,383200
L00618,T10618,2026-02-04,S01,P019,C01,PR10,4,413700
L00810,T10810,2026-02-04,S01,P020,C01,PR10,1,142900
L00034,T10034,2026-02-05,S02,P014,C01,PR10,1,472800
L00218,T10218,2026-02-05,S01,P010,C01,PR20,2,1144300
L00402,T10402,2026-02-05,S01,P001,C01,PR10,4,2356600
L00669,T10669,2026-02-05,S01,P011,C01,PR20,2,94600
L00693,T10693,2026-02-05,S01,P015,C01,PR00,1,238400
L00728,T10728,2026-02-05,S03,P020,C02,PR15,1,134300
L00285,T10285,2026-02-06,S03,P020,C02,PR00,1,161700
L00375,T10375,2026-02-06,S02,P018,C01,PR10,1,162600
L00490,T10490,2026-02-06,S03,P018,C02,PR20,1,142600
L00741,T10741,2026-02-06,S01,P015,C01,PR10,3,215700
L00797,T10797,2026-02-06,S01,P010,C01,PR00,2,1462300
L00169,T10169,2026-02-07,S03,P017,C02,PR15,2,296500
L00806,T10806,2026-02-07,S03,P016,C02,PR15,3,360600
L00992,T10992,2026-02-07,S01,P012,C01,PR00,5,276900
L00057,T10057,2026-02-08,S02,P007,C01,PR10,2,1202400
L00252,T10252,2026-02-08,S03,P015,C02,PR15,4,202600
L00446,T10446,2026-02-08,S01,P018,C01,PR00,2,180500
L00575,T10575,2026-02-08,S03,P007,C02,PR15,1,1144500
L00828,T10828,2026-02-08,S02,P013,C01,PR00,1,190000
L00910,T10910,2026-02-08,S03,P019,C02,PR00,1,465200
L00925,T10925,2026-02-08,S02,P020,C01,PR10,2,143000
L00051,T10051,2026-02-09,S02,P013,C01,PR10,4,169300
L00146,T10146,2026-02-09,S02,P015,C01,PR10,2,216800
L00242,T10242,2026-02-09,S02,P017,C01,PR00,1,346100
L00315,T10315,2026-02-09,S02,P018,C01,PR00,1,181400
L00468,T10468,2026-02-09,S03,P013,C02,PR15,3,162500
L00590,T10590,2026-02-09,S01,P012,C01,PR10,1,250900
L00938,T10938,2026-02-09,S02,P011,C01,PR00,2,120800
L00149,T10149,2026-02-10,S01,P006,C01,PR00,1,1775100
L00201,T10201,2026-02-10,S03,P013,C02,PR00,1,189400
L00548,T10548,2026-02-10,S01,P009,C01,PR00,1,1527800
L00648,T10648,2026-02-10,S03,P012,C02,PR00,2,279800
L00105,T10105,2026-02-11,S02,P012,C01,PR10,2,254800
L00475,T10475,2026-02-11,S01,P017,C01,PR00,2,350800
L00500,T10500,2026-02-11,S02,P015,C01,PR20,1,194600
L00186,T10186,2026-02-12,S03,P011,C02,PR15,1,102900
L00376,T10376,2026-02-12,S01,P009,C01,PR00,1,1552500
L00391,T10391,2026-02-12,S02,P018,C01,PR10,4,163300
L00570,T10570,2026-02-12,S03,P014,C02,PR00,1,523400
L00653,T10653,2026-02-12,S02,P014,C01,PR20,2,413900
L00820,T10820,2026-02-12,S01,P007,C01,PR00,1,1331500
L00888,T10888,2026-02-12,S02,P008,C01,PR00,2,966100
L00341,T10341,2026-02-13,S03,P010,C02,PR15,1,1247300
L00489,T10489,2026-02-13,S02,P012,C01,PR00,1,282000
L00578,T10578,2026-02-13,S03,P014,C02,PR10,3,461900
